phase,run_name,world_count,route_length,budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
capacity_pressure,exp13_full_context_separated_memory,16,8,0.25,0.2723958333333333,0.007331087635551687,5,0.27252604166666666,0.001350028733940637,5,0.00013020833333333704,0.007357058899227434,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.4443551538501767,0.0,5,0.25,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,8,0.5,0.51484375,0.00456658279082037,5,0.51484375,0.002409733792099185,5,0.0,0.005581519596185621,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8014272998035267,0.0,5,0.5,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,8,0.75,0.75859375,0.003518035439090144,5,0.7578125,0.0010293872591694059,5,-0.00078125,0.003944044591369999,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1018295566699254,0.0,5,0.75,0.0,5,1152.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,8,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,8,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,12,0.25,0.26979166666666665,0.0028228493995675467,5,0.27252604166666666,0.001350028733940637,5,0.002734375,0.0037229110561187045,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.4443551538501767,0.0,5,0.25,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,12,0.5,0.5122395833333333,0.002178802152432524,5,0.51484375,0.002409733792099185,5,0.0026041666666666518,0.003768176075127047,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8014272998035267,0.0,5,0.5,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,12,0.75,0.75625,0.004055315495415977,5,0.7578125,0.0010293872591694059,5,0.0015625,0.0037000708954121266,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1018295566699254,0.0,5,0.75,0.0,5,1152.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,12,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
